epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.4683,0.25333,0.6875,1,1.41797,0.000553962,0.000553962,0.000553962
2,61.6123,0.16445,1,1,0.11304,0.00108766,0.00108766,0.00108766
3,90.471,0.13651,1,1,0.06204,0.00159935,0.00159935,0.00159935
4,119.436,0.12975,0.9375,1,0.12671,0.00156798,0.00156798,0.00156798
5,148.042,0.11921,0.9375,1,0.0816,0.00153497,0.00153497,0.00153497
6,176.677,0.1093,1,1,0.03366,0.00150197,0.00150197,0.00150197
7,205.268,0.10754,0.8125,1,0.68018,0.00146896,0.00146896,0.00146896
8,233.758,0.0917,0.9375,1,0.16748,0.00143595,0.00143595,0.00143595
9,262.249,0.08443,1,1,0.08282,0.00140295,0.00140295,0.00140295
10,290.751,0.08155,1,1,0.06927,0.00136994,0.00136994,0.00136994
11,319.284,0.08834,0.875,1,0.14832,0.00133693,0.00133693,0.00133693
12,347.816,0.06525,0.9375,1,0.14746,0.00130393,0.00130393,0.00130393
13,376.321,0.07892,1,1,0.04892,0.00127092,0.00127092,0.00127092
14,404.842,0.08359,1,1,0.03351,0.00123791,0.00123791,0.00123791
15,433.402,0.0658,0.9375,1,0.11194,0.00120491,0.00120491,0.00120491
16,461.958,0.06068,1,1,0.01892,0.0011719,0.0011719,0.0011719
17,490.462,0.05721,1,1,0.01938,0.00113889,0.00113889,0.00113889
18,518.994,0.06022,1,1,0.01361,0.00110589,0.00110589,0.00110589
19,547.517,0.05685,1,1,0.00542,0.00107288,0.00107288,0.00107288
20,576.054,0.05918,1,1,0.01308,0.00103987,0.00103987,0.00103987
21,604.594,0.05802,1,1,0.01477,0.00100687,0.00100687,0.00100687
22,633.078,0.04578,1,1,0.00895,0.000973861,0.000973861,0.000973861
23,661.56,0.04449,1,1,0.00233,0.000940855,0.000940855,0.000940855
24,690.053,0.05293,1,1,0.02748,0.000907848,0.000907848,0.000907848
25,718.648,0.05349,1,1,0.02687,0.000874842,0.000874842,0.000874842
26,747.149,0.04955,1,1,0.05402,0.000841835,0.000841835,0.000841835
27,775.665,0.04956,1,1,0.01863,0.000808828,0.000808828,0.000808828
28,804.196,0.04132,1,1,0.03754,0.000775822,0.000775822,0.000775822
29,832.746,0.04189,1,1,0.03055,0.000742815,0.000742815,0.000742815
30,861.255,0.04063,1,1,0.00889,0.000709809,0.000709809,0.000709809
31,889.739,0.03659,1,1,0.00555,0.000676802,0.000676802,0.000676802
32,918.233,0.03393,1,1,0.0008,0.000643795,0.000643795,0.000643795
33,946.787,0.03842,1,1,0.00071,0.000610789,0.000610789,0.000610789
34,975.282,0.02895,1,1,0.00381,0.000577782,0.000577782,0.000577782
35,1003.78,0.03501,1,1,0.03574,0.000544776,0.000544776,0.000544776
36,1032.29,0.03157,1,1,0.00104,0.000511769,0.000511769,0.000511769
37,1060.85,0.03844,1,1,0.00227,0.000478762,0.000478762,0.000478762
38,1089.34,0.02755,1,1,0.00186,0.000445756,0.000445756,0.000445756
39,1117.87,0.02956,1,1,0.00427,0.000412749,0.000412749,0.000412749
40,1146.43,0.021,1,1,0.00712,0.000379743,0.000379743,0.000379743
41,1191.48,0.02414,1,1,0.00292,0.000346736,0.000346736,0.000346736
42,1220.01,0.0261,1,1,0.00317,0.000313729,0.000313729,0.000313729
43,1248.5,0.02637,1,1,0.00441,0.000280723,0.000280723,0.000280723
44,1276.97,0.01857,1,1,0.0014,0.000247716,0.000247716,0.000247716
45,1305.45,0.02587,1,1,0.00666,0.00021471,0.00021471,0.00021471
46,1333.96,0.01837,1,1,0.00853,0.000181703,0.000181703,0.000181703
47,1362.46,0.01657,1,1,0.00201,0.000148696,0.000148696,0.000148696
48,1390.98,0.01841,1,1,0.00162,0.00011569,0.00011569,0.00011569
49,1419.53,0.0198,1,1,0.00316,8.26832e-05,8.26832e-05,8.26832e-05
50,1448.07,0.0192,1,1,0.00304,4.96766e-05,4.96766e-05,4.96766e-05
